method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
WGAN-GP,0,0,0.0,0.0,0.55525,1.3193986588143902,0.8746546443656439
WGAN-GP,0,50,0.05606791749596596,0.0,0.68825,1.1926119258579007,0.8548002622455242
WGAN-GP,0,100,0.10023041814565659,0.0,0.75375,0.9816360109403804,0.807171927873723
WGAN-GP,0,200,0.18598416820168495,2.0,0.53925,0.7964497775435462,0.6722988043376561
WGAN-GP,0,400,0.35463508404791355,2.0,0.44875000000000004,0.8482528693684236,0.3923641996163942
WGAN-GP,0,800,0.6895586643368006,3.0,0.47950000000000004,0.6650160249607244,0.6580059684593488
WGAN-GP,0,1200,1.0233687479048967,1.0,0.75,0.7688838191618841,1.1947227788066583
WGAN-GP,0,1500,1.2742487080395222,2.0,0.375,0.6538763440314515,0.5048225256683259
PTGAN-GP,0,0,0.0,0.0,0.73875,1.3194759075423628,0.919410917346909
PTGAN-GP,0,50,0.04566837660968304,0.0,0.6992499999999999,1.3002201391145933,0.9235184361289064
PTGAN-GP,0,100,0.09067371115088463,0.0,0.75,1.2220623793675203,0.9098045671422911
PTGAN-GP,0,200,0.17961858585476875,0.0,0.875,0.8927634266123845,0.8945307840898302
PTGAN-GP,0,400,0.3557202108204365,0.0,0.75,0.6715739112053918,1.1208110578215937
PTGAN-GP,0,800,0.7067741267383099,1.0,0.75,0.8061055795180979,0.8342946222335887
PTGAN-GP,0,1200,1.0570090431720018,1.0,0.75,0.8307077385409672,0.8610843227553425
PTGAN-GP,0,1500,1.3204633351415396,1.0,0.875,0.5401870258206505,1.0022155330076672
PTGAN-CP,0,0,0.0,0.0,0.73875,1.3194759075423628,0.919410917346909
PTGAN-CP,0,50,0.03794916532933712,0.0,0.7285,1.2922168690393752,0.9247458637481002
PTGAN-CP,0,100,0.07557320594787598,0.0,0.789,1.159440604866545,0.9121316586033832
PTGAN-CP,0,200,0.14922412112355232,0.0,0.77975,0.8312989134848134,0.9010041188350545
PTGAN-CP,0,400,0.2948495801538229,1.0,0.625,0.8038826668663558,0.7181824486049488
PTGAN-CP,0,800,0.5832886230200529,2.0,0.379,0.7797550177930641,0.413788583911386
PTGAN-CP,0,1200,0.8719452489167452,8.0,0.08449999999999999,0.5817462355185664,0.2518539498180612
PTGAN-CP,0,1500,1.0888094957917929,8.0,0.069,0.5048768109869797,0.20262276892122097
WGAN-GP,1,0,0.0,0.0,0.6525,1.3675499990450075,0.916543363314534
WGAN-GP,1,50,0.0436859168112278,0.0,0.6455,1.3285973655662047,0.9060849289691464
WGAN-GP,1,100,0.08699729293584824,0.0,0.75,1.116196907498149,0.8741947261325579
