method,step,replications,elapsed_sec_mean,elapsed_sec_sd,sliced_wasserstein_mean,sliced_wasserstein_sd,mode_coverage_mean,mode_coverage_sd,mode_tv_mean,mode_tv_sd,nearest_mode_distance_mean,nearest_mode_distance_sd
PTGAN-CP,0,10,0.0,0.0,0.9091681581755647,0.013658092357643476,0.0,0.0,0.62525,0.10317359965934438,1.3460689193302278,0.04913423405655524
PTGAN-CP,50,10,0.03796959575265646,0.0002172552571826855,0.9040884688334041,0.01840260603232823,0.0,0.0,0.7013999999999999,0.08112158227692005,1.2622117809562574,0.05756485483106463
PTGAN-CP,100,10,0.07571817804127931,0.00047387902305656303,0.8804906439016922,0.023505344954414066,0.0,0.0,0.7308,0.10385498704122656,1.1063520386294403,0.07891815965924533
PTGAN-CP,200,10,0.14984274469316006,0.0008224204908462916,0.8196168242148166,0.07470712233014529,0.6,0.6992058987801011,0.6772750000000001,0.1085484051011345,0.8410518200358249,0.11219105079971209
PTGAN-CP,400,10,0.2957880197092891,0.001362233111341246,0.6670725975960513,0.10416517229230343,1.2,0.6324555320336759,0.525625,0.11145111347332715,0.8505451592073234,0.15023926344912786
PTGAN-CP,800,10,0.5850638523697853,0.002242379567549826,0.40672462915645796,0.09366442320862899,4.3,2.110818693198342,0.33255,0.1701287829198157,0.6873872763697213,0.08171990682930076
PTGAN-CP,1200,10,0.8743441145867109,0.003192259002147541,0.2645728495801091,0.05690283572618395,7.7,0.9486832980505138,0.10482499999999999,0.059697158177290516,0.5634465907729516,0.06551625512964793
PTGAN-CP,1500,10,1.0916693599894642,0.003794450505650633,0.21934303522942522,0.03394074948326264,8.0,0.0,0.0684,0.01744204689822843,0.49171707366510364,0.05082069454579407
PTGAN-GP,0,10,0.0,0.0,0.9091681581755647,0.013658092357643476,0.0,0.0,0.62525,0.10317359965934438,1.3460689193302278,0.04913423405655524
PTGAN-GP,50,10,0.04544311240315437,0.000179651069027151,0.8934771968661804,0.018405425605529196,0.0,0.0,0.684925,0.07946881376433845,1.2548232635901346,0.04932803189896001
PTGAN-GP,100,10,0.09054085053503513,0.00026327945802655397,0.8541373575562534,0.03742598099368745,0.0,0.0,0.6916,0.13669716123200543,1.112655966303311,0.09504072067833041
PTGAN-GP,200,10,0.17943867594003676,0.0005399219176827877,0.7631417304693378,0.09806210226297564,0.8,0.6324555320336759,0.6192,0.18700571143981434,0.9079977424678753,0.13724053893194615
PTGAN-GP,400,10,0.35543819665908816,0.0010324332233532497,0.6753034880845301,0.24055249479966015,1.3,1.0593499054713802,0.624875,0.14501145788063322,0.7695442852318053,0.17433566857933744
PTGAN-GP,800,10,0.7057646801695228,0.002286918935630431,0.9149720122923594,0.2671137083865615,1.7,0.6749485577105528,0.6683000000000001,0.14777243202528226,0.8374206733269176,0.211029249348008
PTGAN-GP,1200,10,1.0556617552414536,0.003930426363757975,0.7169923832625942,0.17280237324537087,1.8,1.0327955589886444,0.602525,0.09826702919991923,0.6848390295939364,0.09490849753655936
PTGAN-GP,1500,10,1.3184879139065742,0.0049913821581188,0.727531774489205,0.24397310394064847,2.4,1.1737877907772674,0.5873249999999999,0.19398664938311833,0.7136902564403425,0.12063101740721793
WGAN-GP,0,10,0.0,0.0,0.9034776295890536,0.022321261402314274,0.0,0.0,0.63985,0.0809376646287472,1.3155382773394422,0.07883465485286438
WGAN-GP,50,10,0.04463180024176836,0.004021269605248346,0.889072869926801,0.021848017280753466,0.0,0.0,0.6778,0.14746806622301506,1.2607756815066704,0.10423732521896989
WGAN-GP,100,10,0.08772562071681023,0.004406131445190247,0.8577864102619982,0.029310576831347968,0.0,0.0,0.7379,0.08137483572265376,1.0581186559205198,0.09131336764424255
WGAN-GP,200,10,0.17245760057121515,0.004786962567011427,0.8050036178458353,0.06900689486651514,0.7,0.8232726023485646,0.717025,0.1087788563248085,0.8148368301584066,0.1613832295651843
WGAN-GP,400,10,0.34033710043877363,0.0051683827288677665,0.6849960005567625,0.21040128039948175,1.2,0.6324555320336759,0.6322500000000001,0.1568525935747035,0.7981234402871564,0.09521434398858163
WGAN-GP,800,10,0.6746885750442744,0.005710501565992663,0.7147497637707388,0.2531585775780374,1.9,1.3703203194062976,0.5730999999999999,0.18213171363359848,0.7445353339687225,0.17913668971322683
WGAN-GP,1200,10,1.0087107667699455,0.005971030900420669,0.7386025347754523,0.259404821207749,2.4,1.7763883459298968,0.5977,0.18868532004371724,0.7078644901953977,0.1380034154904118
WGAN-GP,1500,10,1.2595627374947072,0.006165672361261199,0.8078148867798068,0.3148823437570557,2.5,2.223610677354389,0.5529499999999999,0.222886424739896,0.7699972317475215,0.18567993145715805
