method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
WGAN-GP,0,0,0.0,1.0,0.0,0.18718082385618617,0.09257488665008859
WGAN-GP,0,50,0.0559508316218853,1.0,0.0,0.13293805194515074,0.05425852576670363
WGAN-GP,0,100,0.10001095570623875,1.0,0.0,0.1122830376132795,0.04752046370244467
WGAN-GP,0,200,0.18578599579632282,1.0,0.0,0.1293590640568159,0.053768090464021756
WGAN-GP,0,400,0.35509995371103287,1.0,0.0,0.09493334944041695,0.020944227475152455
WGAN-GP,0,800,0.6909865383058786,1.0,0.0,0.13289054878432854,0.029250957987072834
WGAN-GP,0,1000,0.8597983289510012,1.0,0.0,0.1298710083145448,0.011310615437265293
PTGAN-CP,0,0,0.0,1.0,0.0,0.18681473515401,0.12109331925025267
PTGAN-CP,0,50,0.03883454203605652,1.0,0.0,0.10437533528509366,0.0725967571538514
PTGAN-CP,0,100,0.07695225067436695,1.0,0.0,0.09509421536207568,0.05453490439192355
PTGAN-CP,0,200,0.1508984975516796,1.0,0.0,0.13332778889532268,0.020428956285127215
PTGAN-CP,0,400,0.29768153838813305,1.0,0.0,0.13164213881718392,0.01677489089120637
PTGAN-CP,0,800,0.5888417456299067,1.0,0.0,0.1260292388549757,0.007300558441009759
PTGAN-CP,0,1000,0.7360802441835403,1.0,0.0,0.11518495167589142,0.0150367333576745
WGAN-GP,1,0,0.0,1.0,0.0,0.13652780114797566,0.0880516301114809
WGAN-GP,1,50,0.04365420714020729,1.0,0.0,0.0863676053910759,0.04212530758211375
WGAN-GP,1,100,0.08697712421417236,1.0,0.0,0.06572012913917342,0.043441358784947454
WGAN-GP,1,200,0.17204458452761173,1.0,0.0,0.1084974343686705,0.024900736735496316
WGAN-GP,1,400,0.34074562788009644,1.0,0.0,0.114559746739864,0.012665449027102156
WGAN-GP,1,800,0.6778526287525892,1.0,0.0,0.11710701909665662,0.01585098628487073
WGAN-GP,1,1000,0.8465293776243925,1.0,0.0,0.11769120466182471,0.010251187422166005
PTGAN-CP,1,0,0.0,1.0,0.0,0.17855457520859044,0.09633980931412447
PTGAN-CP,1,50,0.03836045600473881,1.0,0.0,0.1214197326532735,0.04106394941300196
PTGAN-CP,1,100,0.07670291513204575,1.0,0.0,0.12391493326026691,0.018382361382653416
PTGAN-CP,1,200,0.1514632049947977,1.0,0.0,0.13016848089800825,0.01662770122240977
PTGAN-CP,1,400,0.29898703657090664,1.0,0.0,0.11061740069838519,0.013429106302665922
PTGAN-CP,1,800,0.5912843700498343,1.0,0.0,0.12972408607263441,0.01748093577783459
PTGAN-CP,1,1000,0.7385748699307442,1.0,0.0,0.12467537799007682,0.013379099355786373
WGAN-GP,2,0,0.0,1.0,0.0,0.08750888669286502,0.0667196584294623
WGAN-GP,2,50,0.04375733062624931,1.0,0.0,0.07475285646763394,0.05097192706392886
WGAN-GP,2,100,0.08713066391646862,1.0,0.0,0.0738329768382489,0.038030300642721074
WGAN-GP,2,200,0.17247007973492146,1.0,0.0,0.14281110278295614,0.04947301257481577
WGAN-GP,2,400,0.3412899561226368,1.0,0.0,0.14099046430417198,0.026907040008613513
WGAN-GP,2,800,0.6784124132245779,1.0,0.0,0.1235973929370643,0.033911664358883
WGAN-GP,2,1000,0.8470404949039221,1.0,0.0,0.13855568967029394,0.02066235898963358
PTGAN-CP,2,0,0.0,1.0,0.0,0.1288018891602114,0.09007784253964712
PTGAN-CP,2,50,0.038223542273044586,1.0,0.0,0.05856235147515289,0.04403785016945132
PTGAN-CP,2,100,0.07609866745769978,1.0,0.0,0.0978519410090733,0.021932350719493763
PTGAN-CP,2,200,0.15026200003921986,1.0,0.0,0.11778652175765868,0.0201220811345256
PTGAN-CP,2,400,0.2966242525726557,1.0,0.0,0.11130179133490324,0.015674678759100946
PTGAN-CP,2,800,0.5871604606509209,1.0,0.0,0.1274408117194561,0.015062791775969834
PTGAN-CP,2,1000,0.7334447111934423,1.0,0.0,0.13502250342743874,0.017358916103123578
WGAN-GP,3,0,0.0,1.0,0.0,0.27144655791283134,0.17419736831246332
WGAN-GP,3,50,0.04319137521088123,1.0,0.0,0.1479092071615107,0.08063653608830583
WGAN-GP,3,100,0.08618900179862976,1.0,0.0,0.11990870980321518,0.06780808431520967
WGAN-GP,3,200,0.17104675248265266,1.0,0.0,0.10067051566487017,0.019605525505757834
WGAN-GP,3,400,0.33989112824201584,1.0,0.0,0.14487044641384306,0.02523438580261098
WGAN-GP,3,800,0.6758985854685307,1.0,0.0,0.11358618429323214,0.018938976264259322
WGAN-GP,3,1000,0.8454945012927055,1.0,0.0,0.12552716932066127,0.02492497260774346
PTGAN-CP,3,0,0.0,1.0,0.0,0.15725358307029874,0.07358549001612744
PTGAN-CP,3,50,0.03830241598188877,1.0,0.0,0.11167472636456406,0.031700113200216616
PTGAN-CP,3,100,0.07633358426392078,1.0,0.0,0.10977311347774975,0.025515725104939123
PTGAN-CP,3,200,0.15139771066606045,1.0,0.0,0.1855728474468333,0.0481390870841345
