method,step,replications,elapsed_sec_mean,elapsed_sec_sd,sliced_wasserstein_mean,sliced_wasserstein_sd,mode_coverage_mean,mode_coverage_sd,mode_tv_mean,mode_tv_sd,nearest_mode_distance_mean,nearest_mode_distance_sd
PTGAN-CP,0,10,0.0,0.0,0.09520551346400005,0.032676913759249714,1.0,0.0,0.0,0.0,0.15844231174972837,0.05120859010064822
PTGAN-CP,50,10,0.03838502895087004,0.00017963939907056549,0.06543519349540469,0.03443599273191221,1.0,0.0,0.0,0.0,0.12494258446929682,0.04514163256961572
PTGAN-CP,100,10,0.07655303329229354,0.00034108963832404676,0.03346696743132505,0.0130809908396931,1.0,0.0,0.0,0.0,0.11228239415095734,0.015891026674556552
PTGAN-CP,200,10,0.15131252873688936,0.0006764580465165415,0.027133946735264713,0.009648145363839069,1.0,0.0,0.0,0.0,0.1383484190543466,0.02974206998552656
PTGAN-CP,400,10,0.2982130577787757,0.0012467853266095552,0.018905744447981203,0.013424105434176868,1.0,0.0,0.0,0.0,0.127653504950906,0.02750362334839388
PTGAN-CP,800,10,0.5891485784202815,0.00167357199627428,0.012409812140042649,0.0027222722590508996,1.0,0.0,0.0,0.0,0.12638684884398496,0.003486687192479841
PTGAN-CP,1000,10,0.7358649993315339,0.0020501420924106495,0.014732959681030222,0.0029899167722601447,1.0,0.0,0.0,0.0,0.12435866868336057,0.007017255634417554
WGAN-GP,0,10,0.0,0.0,0.11295902300968501,0.05303392566136885,1.0,0.0,0.0,0.0,0.1902597984404228,0.08112389992822938
WGAN-GP,50,10,0.04479164090007544,0.003926912708376157,0.05952044266846339,0.01568621080632678,1.0,0.0,0.0,0.0,0.12096978209581193,0.029085077613761456
WGAN-GP,100,10,0.0881350826472044,0.004189200316503169,0.06226294885387225,0.037643727234521376,1.0,0.0,0.0,0.0,0.12896214092746788,0.061318412707648644
WGAN-GP,200,10,0.17329179514199494,0.004426539859170072,0.03595303742252011,0.023821854297843222,1.0,0.0,0.0,0.0,0.1260203243494193,0.02364500679361013
WGAN-GP,400,10,0.3421050453558564,0.004629133493814334,0.021594053156237143,0.005435248730329043,1.0,0.0,0.0,0.0,0.12260274263684803,0.017527017180132096
WGAN-GP,800,10,0.6783942490816116,0.004562876685542485,0.022198839390485805,0.00799625368962021,1.0,0.0,0.0,0.0,0.1188981443673135,0.010064420965452537
WGAN-GP,1000,10,0.8470374694094062,0.004615347011737802,0.019396400150744127,0.005884366939608937,1.0,0.0,0.0,0.0,0.13039571269203562,0.011183181178733681
